Type,Object,count,Group,Items,NItems,Proportion
minecraft:stonecutting,andesite_stairs,1,,['andesite'],[1],[1.0]
minecraft:crafting_shaped,andesite_wall,6,,['andesite'],[6],[1.0]
minecraft:stonecutting,andesite_wall,1,,['andesite'],[1],[1.0]
minecraft:crafting_shaped,anvil,1,,"['iron_block', 'iron_ingot']","[3, 4]","[0.42857142857142855, 0.5714285714285714]"
minecraft:crafting_shaped,armor_stand,1,,"['stick', 'smooth_stone_slab']","[6, 1]","[0.8571428571428571, 0.14285714285714285]"
minecraft:crafting_shaped,arrow,4,,"['stick', 'flint', 'feather']","[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
minecraft:smelting,baked_potato,1,,['potato'],[1],[1.0]
minecraft:campfire_cooking,baked_potato,1,,['potato'],[1],[1.0]
minecraft:smoking,baked_potato,1,,['potato'],[1],[1.0]
minecraft:crafting_shaped,barrel,1,,"['planks', 'wooden_slabs']","[6, 2]","[0.75, 0.25]"
minecraft:crafting_shaped,beacon,1,,"['glass', 'obsidian', 'nether_star']","[5, 3, 1]","[0.5555555555555556, 0.3333333333333333, 0.1111111111111111]"
minecraft:crafting_shaped,beehive,1,,"['honeycomb', 'planks']","[3, 6]","[0.3333333333333333, 0.6666666666666666]"
minecraft:crafting_shapeless,beetroot_soup,1,,"['bowl', 'beetroot']","[1, 6]","[0.14285714285714285, 0.8571428571428571]"
minecraft:crafting_shaped,birch_boat,1,boat,['birch_planks'],[5],[1.0]
minecraft:crafting_shapeless,birch_button,1,wooden_button,['birch_planks'],[1],[1.0]
minecraft:crafting_shapeless,birch_chest_boat,1,chest_boat,"['chest', 'birch_boat']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shaped,birch_door,3,wooden_door,['birch_planks'],[6],[1.0]
minecraft:crafting_shaped,birch_fence,3,wooden_fence,"['stick', 'birch_planks']","[2, 4]","[0.3333333333333333, 0.6666666666666666]"
minecraft:crafting_shaped,birch_fence_gate,1,wooden_fence_gate,"['stick', 'birch_planks']","[4, 2]","[0.6666666666666666, 0.3333333333333333]"
minecraft:crafting_shapeless,birch_planks,4,planks,['birch_logs'],[1],[1.0]
minecraft:crafting_shaped,birch_pressure_plate,1,wooden_pressure_plate,['birch_planks'],[2],[1.0]
minecraft:crafting_shaped,birch_sign,3,wooden_sign,"['birch_planks', 'stick']","[6, 1]","[0.8571428571428571, 0.14285714285714285]"
minecraft:crafting_shaped,birch_slab,6,wooden_slab,['birch_planks'],[3],[1.0]
minecraft:crafting_shaped,birch_stairs,4,wooden_stairs,['birch_planks'],[6],[1.0]
minecraft:crafting_shaped,birch_trapdoor,2,wooden_trapdoor,['birch_planks'],[6],[1.0]
minecraft:crafting_shaped,birch_wood,3,bark,['birch_log'],[4],[1.0]
minecraft:crafting_shaped,blackstone_slab,6,,['blackstone'],[3],[1.0]
minecraft:stonecutting,blackstone_slab,1,,['blackstone'],[1],[1.0]
minecraft:crafting_shaped,blackstone_stairs,4,,['blackstone'],[6],[1.0]
minecraft:stonecutting,blackstone_stairs,1,,['blackstone'],[1],[1.0]
minecraft:crafting_shaped,blackstone_wall,6,,['blackstone'],[6],[1.0]
minecraft:stonecutting,blackstone_wall,1,,['blackstone'],[1],[1.0]
minecraft:crafting_shaped,black_banner,1,banner,"['black_wool', 'stick']","[6, 1]","[0.8571428571428571, 0.14285714285714285]"
minecraft:crafting_shaped,black_bed,1,bed,"['black_wool', 'planks']","[3, 3]","[0.5, 0.5]"
minecraft:crafting_shapeless,black_bed,1,dyed_bed,"['white_bed', 'black_dye']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shapeless,black_candle,1,dyed_candle,"['candle', 'black_dye']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shaped,black_carpet,3,carpet,['black_wool'],[2],[1.0]
minecraft:crafting_shaped,black_carpet,8,carpet,"['white_carpet', 'black_dye']","[8, 1]","[0.8888888888888888, 0.1111111111111111]"
minecraft:crafting_shapeless,black_concrete_powder,8,concrete_powder,"['black_dye', 'sand', 'gravel']","[1, 4, 4]","[0.1111111111111111, 0.4444444444444444, 0.4444444444444444]"
minecraft:crafting_shapeless,black_dye,1,black_dye,['ink_sac'],[1],[1.0]
minecraft:crafting_shapeless,black_dye,1,black_dye,['wither_rose'],[1],[1.0]
minecraft:smelting,black_glazed_terracotta,1,,['black_terracotta'],[1],[1.0]
minecraft:crafting_shaped,black_stained_glass,8,stained_glass,"['glass', 'black_dye']","[8, 1]","[0.8888888888888888, 0.1111111111111111]"
minecraft:crafting_shaped,black_stained_glass_pane,16,stained_glass_pane,['black_stained_glass'],[6],[1.0]
minecraft:crafting_shaped,black_stained_glass_pane,8,stained_glass_pane,"['glass_pane', 'black_dye']","[8, 1]","[0.8888888888888888, 0.1111111111111111]"
minecraft:crafting_shaped,black_terracotta,8,stained_terracotta,"['terracotta', 'black_dye']","[8, 1]","[0.8888888888888888, 0.1111111111111111]"
minecraft:crafting_shapeless,black_wool,1,wool,"['black_dye', 'white_wool']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shaped,blast_furnace,1,,"['smooth_stone', 'iron_ingot', 'furnace']","[3, 5, 1]","[0.3333333333333333, 0.5555555555555556, 0.1111111111111111]"
minecraft:crafting_shapeless,blaze_powder,2,,['blaze_rod'],[1],[1.0]
minecraft:crafting_shaped,blue_banner,1,banner,"['blue_wool', 'stick']","[6, 1]","[0.8571428571428571, 0.14285714285714285]"
minecraft:crafting_shaped,blue_bed,1,bed,"['blue_wool', 'planks']","[3, 3]","[0.5, 0.5]"
minecraft:crafting_shapeless,blue_bed,1,dyed_bed,"['white_bed', 'blue_dye']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shapeless,blue_candle,1,dyed_candle,"['candle', 'blue_dye']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shaped,blue_carpet,3,carpet,['blue_wool'],[2],[1.0]
minecraft:crafting_shaped,blue_carpet,8,carpet,"['white_carpet', 'blue_dye']","[8, 1]","[0.8888888888888888, 0.1111111111111111]"
minecraft:crafting_shapeless,blue_concrete_powder,8,concrete_powder,"['blue_dye', 'sand', 'gravel']","[1, 4, 4]","[0.1111111111111111, 0.4444444444444444, 0.4444444444444444]"
minecraft:crafting_shapeless,blue_dye,1,blue_dye,['lapis_lazuli'],[1],[1.0]
minecraft:crafting_shapeless,blue_dye,1,blue_dye,['cornflower'],[1],[1.0]
minecraft:smelting,blue_glazed_terracotta,1,,['blue_terracotta'],[1],[1.0]
minecraft:crafting_shaped,blue_ice,1,,['packed_ice'],[9],[1.0]
minecraft:crafting_shaped,blue_stained_glass,8,stained_glass,"['glass', 'blue_dye']","[8, 1]","[0.8888888888888888, 0.1111111111111111]"
minecraft:crafting_shaped,blue_stained_glass_pane,16,stained_glass_pane,['blue_stained_glass'],[6],[1.0]
minecraft:crafting_shaped,blue_stained_glass_pane,8,stained_glass_pane,"['glass_pane', 'blue_dye']","[8, 1]","[0.8888888888888888, 0.1111111111111111]"
minecraft:crafting_shaped,blue_terracotta,8,stained_terracotta,"['terracotta', 'blue_dye']","[8, 1]","[0.8888888888888888, 0.1111111111111111]"
minecraft:crafting_shapeless,blue_wool,1,wool,"['blue_dye', 'white_wool']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shaped,bone_block,1,,['bone_meal'],[9],[1.0]
minecraft:crafting_shapeless,bone_meal,3,bonemeal,['bone'],[1],[1.0]
minecraft:crafting_shapeless,bone_meal,9,bonemeal,['bone_block'],[1],[1.0]
minecraft:crafting_shapeless,book,1,,"['paper', 'leather']","[3, 1]","[0.75, 0.25]"
minecraft:crafting_shaped,bookshelf,1,,"['planks', 'book']","[6, 3]","[0.6666666666666666, 0.3333333333333333]"
minecraft:crafting_shaped,bow,1,,"['stick', 'string']","[3, 3]","[0.5, 0.5]"
minecraft:crafting_shaped,bowl,4,,['planks'],[3],[1.0]
minecraft:crafting_shaped,bread,1,,['wheat'],[3],[1.0]
minecraft:crafting_shaped,brewing_stand,1,,"['stone_crafting_materials', 'blaze_rod']","[3, 1]","[0.75, 0.25]"
minecraft:smelting,brick,1,,['clay_ball'],[1],[1.0]
minecraft:crafting_shaped,bricks,1,,['brick'],[4],[1.0]
minecraft:crafting_shaped,brick_slab,6,,['bricks'],[3],[1.0]
minecraft:stonecutting,brick_slab,1,,['bricks'],[1],[1.0]
minecraft:crafting_shaped,brick_stairs,4,,['bricks'],[6],[1.0]
minecraft:stonecutting,brick_stairs,1,,['bricks'],[1],[1.0]
minecraft:crafting_shaped,brick_wall,6,,['bricks'],[6],[1.0]
minecraft:stonecutting,brick_wall,1,,['bricks'],[1],[1.0]
minecraft:crafting_shaped,brown_banner,1,banner,"['brown_wool', 'stick']","[6, 1]","[0.8571428571428571, 0.14285714285714285]"
minecraft:crafting_shaped,brown_bed,1,bed,"['brown_wool', 'planks']","[3, 3]","[0.5, 0.5]"
minecraft:crafting_shapeless,brown_bed,1,dyed_bed,"['white_bed', 'brown_dye']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shapeless,brown_candle,1,dyed_candle,"['candle', 'brown_dye']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shaped,brown_carpet,3,carpet,['brown_wool'],[2],[1.0]
minecraft:crafting_shaped,brown_carpet,8,carpet,"['white_carpet', 'brown_dye']","[8, 1]","[0.8888888888888888, 0.1111111111111111]"
minecraft:crafting_shapeless,brown_concrete_powder,8,concrete_powder,"['brown_dye', 'sand', 'gravel']","[1, 4, 4]","[0.1111111111111111, 0.4444444444444444, 0.4444444444444444]"
minecraft:crafting_shapeless,brown_dye,1,brown_dye,['cocoa_beans'],[1],[1.0]
minecraft:smelting,brown_glazed_terracotta,1,,['brown_terracotta'],[1],[1.0]
minecraft:crafting_shaped,brown_stained_glass,8,stained_glass,"['glass', 'brown_dye']","[8, 1]","[0.8888888888888888, 0.1111111111111111]"
minecraft:crafting_shaped,brown_stained_glass_pane,16,stained_glass_pane,['brown_stained_glass'],[6],[1.0]
minecraft:crafting_shaped,brown_stained_glass_pane,8,stained_glass_pane,"['glass_pane', 'brown_dye']","[8, 1]","[0.8888888888888888, 0.1111111111111111]"
minecraft:crafting_shaped,brown_terracotta,8,stained_terracotta,"['terracotta', 'brown_dye']","[8, 1]","[0.8888888888888888, 0.1111111111111111]"
minecraft:crafting_shapeless,brown_wool,1,wool,"['brown_dye', 'white_wool']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shaped,bucket,1,,['iron_ingot'],[3],[1.0]
minecraft:crafting_shaped,cake,1,,"['milk_bucket', 'sugar', 'wheat', 'egg']","[3, 2, 3, 1]","[0.3333333333333333, 0.2222222222222222, 0.3333333333333333, 0.1111111111111111]"
minecraft:crafting_shaped,campfire,1,,"['coals', 'logs', 'stick']","[1, 3, 3]","[0.14285714285714285, 0.42857142857142855, 0.42857142857142855]"
minecraft:crafting_shaped,candle,1,,"['honeycomb', 'string']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shaped,carrot_on_a_stick,1,,"['fishing_rod', 'carrot']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shaped,cartography_table,1,,"['planks', 'paper']","[4, 2]","[0.6666666666666666, 0.3333333333333333]"
minecraft:crafting_shaped,cauldron,1,,['iron_ingot'],[7],[1.0]
minecraft:crafting_shaped,chain,1,,"['iron_ingot', 'iron_nugget']","[1, 2]","[0.3333333333333333, 0.6666666666666666]"
minecraft:smelting,charcoal,1,,['logs_that_burn'],[1],[1.0]
minecraft:crafting_shaped,chest,1,,['planks'],[8],[1.0]
minecraft:crafting_shapeless,chest_minecart,1,,"['chest', 'minecart']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shaped,chiseled_deepslate,1,,['cobbled_deepslate_slab'],[2],[1.0]
minecraft:stonecutting,chiseled_deepslate,1,,['cobbled_deepslate'],[1],[1.0]
minecraft:crafting_shaped,chiseled_nether_bricks,1,,['nether_brick_slab'],[2],[1.0]
minecraft:stonecutting,chiseled_nether_bricks,1,,['nether_bricks'],[1],[1.0]
minecraft:crafting_shaped,chiseled_polished_blackstone,1,,['polished_blackstone_slab'],[2],[1.0]
minecraft:stonecutting,chiseled_polished_blackstone,1,,['blackstone'],[1],[1.0]
minecraft:stonecutting,chiseled_polished_blackstone,1,,['polished_blackstone'],[1],[1.0]
minecraft:crafting_shaped,chiseled_quartz_block,1,,['quartz_slab'],[2],[1.0]
minecraft:stonecutting,chiseled_quartz_block,1,,['quartz_block'],[1],[1.0]
minecraft:crafting_shaped,chiseled_red_sandstone,1,,['red_sandstone_slab'],[2],[1.0]
minecraft:stonecutting,chiseled_red_sandstone,1,,['red_sandstone'],[1],[1.0]
minecraft:crafting_shaped,chiseled_sandstone,1,,['sandstone_slab'],[2],[1.0]
minecraft:stonecutting,chiseled_sandstone,1,,['sandstone'],[1],[1.0]
minecraft:crafting_shaped,chiseled_stone_bricks,1,,['stone_brick_slab'],[2],[1.0]
minecraft:stonecutting,chiseled_stone_bricks,1,,['stone_bricks'],[1],[1.0]
minecraft:stonecutting,chiseled_stone_bricks,1,,['stone'],[1],[1.0]
minecraft:crafting_shaped,clay,1,,['clay_ball'],[4],[1.0]
minecraft:crafting_shaped,clock,1,,"['gold_ingot', 'redstone']","[4, 1]","[0.8, 0.2]"
minecraft:crafting_shapeless,coal,9,,['coal_block'],[1],[1.0]
minecraft:crafting_shaped,coal_block,1,,['coal'],[9],[1.0]
minecraft:blasting,coal,1,coal,['coal_ore'],[1],[1.0]
minecraft:blasting,coal,1,coal,['deepslate_coal_ore'],[1],[1.0]
minecraft:smelting,coal,1,coal,['coal_ore'],[1],[1.0]
minecraft:smelting,coal,1,coal,['deepslate_coal_ore'],[1],[1.0]
minecraft:crafting_shaped,coarse_dirt,4,,"['dirt', 'gravel']","[2, 2]","[0.5, 0.5]"
minecraft:crafting_shaped,cobbled_deepslate_slab,6,,['cobbled_deepslate'],[3],[1.0]
minecraft:stonecutting,cobbled_deepslate_slab,1,,['cobbled_deepslate'],[1],[1.0]
minecraft:crafting_shaped,cobbled_deepslate_stairs,4,,['cobbled_deepslate'],[6],[1.0]
minecraft:stonecutting,cobbled_deepslate_stairs,1,,['cobbled_deepslate'],[1],[1.0]
minecraft:crafting_shaped,cobbled_deepslate_wall,6,,['cobbled_deepslate'],[6],[1.0]
minecraft:stonecutting,cobbled_deepslate_wall,1,,['cobbled_deepslate'],[1],[1.0]
minecraft:crafting_shaped,cobblestone_slab,6,,['cobblestone'],[3],[1.0]
minecraft:stonecutting,cobblestone_slab,1,,['cobblestone'],[1],[1.0]
minecraft:crafting_shaped,cobblestone_stairs,4,,['cobblestone'],[6],[1.0]
minecraft:stonecutting,cobblestone_stairs,1,,['cobblestone'],[1],[1.0]
minecraft:crafting_shaped,cobblestone_wall,6,,['cobblestone'],[6],[1.0]
minecraft:stonecutting,cobblestone_wall,1,,['cobblestone'],[1],[1.0]
minecraft:crafting_shaped,comparator,1,,"['redstone_torch', 'stone', 'quartz']","[3, 3, 1]","[0.42857142857142855, 0.42857142857142855, 0.14285714285714285]"
minecraft:crafting_shaped,compass,1,,"['iron_ingot', 'redstone']","[4, 1]","[0.8, 0.2]"
minecraft:crafting_shaped,composter,1,,['wooden_slabs'],[7],[1.0]
minecraft:crafting_shaped,conduit,1,,"['nautilus_shell', 'heart_of_the_sea']","[8, 1]","[0.8888888888888888, 0.1111111111111111]"
minecraft:smelting,cooked_beef,1,,['beef'],[1],[1.0]
minecraft:campfire_cooking,cooked_beef,1,,['beef'],[1],[1.0]
minecraft:smoking,cooked_beef,1,,['beef'],[1],[1.0]
minecraft:smelting,cooked_chicken,1,,['chicken'],[1],[1.0]
minecraft:campfire_cooking,cooked_chicken,1,,['chicken'],[1],[1.0]
minecraft:smoking,cooked_chicken,1,,['chicken'],[1],[1.0]
minecraft:smelting,cooked_cod,1,,['cod'],[1],[1.0]
minecraft:campfire_cooking,cooked_cod,1,,['cod'],[1],[1.0]
minecraft:smoking,cooked_cod,1,,['cod'],[1],[1.0]
minecraft:smelting,cooked_mutton,1,,['mutton'],[1],[1.0]
minecraft:campfire_cooking,cooked_mutton,1,,['mutton'],[1],[1.0]
minecraft:smoking,cooked_mutton,1,,['mutton'],[1],[1.0]
minecraft:smelting,cooked_porkchop,1,,['porkchop'],[1],[1.0]
minecraft:campfire_cooking,cooked_porkchop,1,,['porkchop'],[1],[1.0]
minecraft:smoking,cooked_porkchop,1,,['porkchop'],[1],[1.0]
minecraft:smelting,cooked_rabbit,1,,['rabbit'],[1],[1.0]
minecraft:campfire_cooking,cooked_rabbit,1,,['rabbit'],[1],[1.0]
minecraft:smoking,cooked_rabbit,1,,['rabbit'],[1],[1.0]
minecraft:smelting,cooked_salmon,1,,['salmon'],[1],[1.0]
minecraft:campfire_cooking,cooked_salmon,1,,['salmon'],[1],[1.0]
minecraft:smoking,cooked_salmon,1,,['salmon'],[1],[1.0]
minecraft:crafting_shaped,cookie,8,,"['wheat', 'cocoa_beans']","[2, 1]","[0.6666666666666666, 0.3333333333333333]"
minecraft:crafting_shaped,copper_block,1,,['copper_ingot'],[9],[1.0]
minecraft:crafting_shapeless,copper_ingot,9,copper_ingot,['copper_block'],[1],[1.0]
minecraft:blasting,copper_ingot,1,copper_ingot,['copper_ore'],[1],[1.0]
minecraft:blasting,copper_ingot,1,copper_ingot,['deepslate_copper_ore'],[1],[1.0]
minecraft:blasting,copper_ingot,1,copper_ingot,['raw_copper'],[1],[1.0]
minecraft:smelting,copper_ingot,1,copper_ingot,['copper_ore'],[1],[1.0]
minecraft:smelting,copper_ingot,1,copper_ingot,['deepslate_copper_ore'],[1],[1.0]
minecraft:smelting,copper_ingot,1,copper_ingot,['raw_copper'],[1],[1.0]
minecraft:crafting_shapeless,copper_ingot,9,copper_ingot,['waxed_copper_block'],[1],[1.0]
minecraft:smelting,cracked_deepslate_bricks,1,,['deepslate_bricks'],[1],[1.0]
minecraft:smelting,cracked_deepslate_tiles,1,,['deepslate_tiles'],[1],[1.0]
minecraft:smelting,cracked_nether_bricks,1,,['nether_bricks'],[1],[1.0]
minecraft:smelting,cracked_polished_blackstone_bricks,1,,['polished_blackstone_bricks'],[1],[1.0]
minecraft:smelting,cracked_stone_bricks,1,,['stone_bricks'],[1],[1.0]
minecraft:crafting_shaped,crafting_table,1,,['planks'],[4],[1.0]
minecraft:crafting_shapeless,creeper_banner_pattern,1,,"['paper', 'creeper_head']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shapeless,crimson_button,1,wooden_button,['crimson_planks'],[1],[1.0]
minecraft:crafting_shaped,crimson_door,3,wooden_door,['crimson_planks'],[6],[1.0]
minecraft:crafting_shaped,crimson_fence,3,wooden_fence,"['stick', 'crimson_planks']","[2, 4]","[0.3333333333333333, 0.6666666666666666]"
minecraft:crafting_shaped,crimson_fence_gate,1,wooden_fence_gate,"['stick', 'crimson_planks']","[4, 2]","[0.6666666666666666, 0.3333333333333333]"
minecraft:crafting_shaped,crimson_hyphae,3,bark,['crimson_stem'],[4],[1.0]
minecraft:crafting_shapeless,crimson_planks,4,planks,['crimson_stems'],[1],[1.0]
minecraft:crafting_shaped,crimson_pressure_plate,1,wooden_pressure_plate,['crimson_planks'],[2],[1.0]
minecraft:crafting_shaped,crimson_sign,3,wooden_sign,"['crimson_planks', 'stick']","[6, 1]","[0.8571428571428571, 0.14285714285714285]"
minecraft:crafting_shaped,crimson_slab,6,wooden_slab,['crimson_planks'],[3],[1.0]
minecraft:crafting_shaped,crimson_stairs,4,wooden_stairs,['crimson_planks'],[6],[1.0]
minecraft:crafting_shaped,crimson_trapdoor,2,wooden_trapdoor,['crimson_planks'],[6],[1.0]
minecraft:crafting_shaped,crossbow,1,,"['stick', 'tripwire_hook', 'iron_ingot', 'string']","[3, 1, 1, 2]","[0.42857142857142855, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857]"
minecraft:crafting_shaped,cut_copper,4,,['copper_block'],[4],[1.0]
minecraft:stonecutting,cut_copper,1,,['copper_block'],[1],[1.0]
minecraft:crafting_shaped,cut_copper_slab,6,,['cut_copper'],[3],[1.0]
minecraft:stonecutting,cut_copper_slab,1,,['copper_block'],[1],[1.0]
minecraft:stonecutting,cut_copper_slab,1,,['cut_copper'],[1],[1.0]
minecraft:crafting_shaped,cut_copper_stairs,4,,['cut_copper'],[6],[1.0]
minecraft:stonecutting,cut_copper_stairs,1,,['copper_block'],[1],[1.0]
minecraft:stonecutting,cut_copper_stairs,1,,['cut_copper'],[1],[1.0]
minecraft:crafting_shaped,cut_red_sandstone,4,,['red_sandstone'],[4],[1.0]
minecraft:stonecutting,cut_red_sandstone,1,,['red_sandstone'],[1],[1.0]
minecraft:crafting_shaped,cut_red_sandstone_slab,6,,['cut_red_sandstone'],[3],[1.0]
minecraft:stonecutting,cut_red_sandstone_slab,1,,['cut_red_sandstone'],[1],[1.0]
minecraft:stonecutting,cut_red_sandstone_slab,1,,['red_sandstone'],[1],[1.0]
minecraft:crafting_shaped,cut_sandstone,4,,['sandstone'],[4],[1.0]
minecraft:stonecutting,cut_sandstone,1,,['sandstone'],[1],[1.0]
minecraft:crafting_shaped,cut_sandstone_slab,6,,['cut_sandstone'],[3],[1.0]
minecraft:stonecutting,cut_sandstone_slab,1,,['cut_sandstone'],[1],[1.0]
minecraft:stonecutting,cut_sandstone_slab,1,,['sandstone'],[1],[1.0]
minecraft:crafting_shaped,cyan_banner,1,banner,"['cyan_wool', 'stick']","[6, 1]","[0.8571428571428571, 0.14285714285714285]"
minecraft:crafting_shaped,cyan_bed,1,bed,"['cyan_wool', 'planks']","[3, 3]","[0.5, 0.5]"
minecraft:crafting_shapeless,cyan_bed,1,dyed_bed,"['white_bed', 'cyan_dye']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shapeless,cyan_candle,1,dyed_candle,"['candle', 'cyan_dye']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shaped,cyan_carpet,3,carpet,['cyan_wool'],[2],[1.0]
minecraft:crafting_shaped,cyan_carpet,8,carpet,"['white_carpet', 'cyan_dye']","[8, 1]","[0.8888888888888888, 0.1111111111111111]"
minecraft:crafting_shapeless,cyan_concrete_powder,8,concrete_powder,"['cyan_dye', 'sand', 'gravel']","[1, 4, 4]","[0.1111111111111111, 0.4444444444444444, 0.4444444444444444]"
minecraft:crafting_shapeless,cyan_dye,2,,"['blue_dye', 'green_dye']","[1, 1]","[0.5, 0.5]"
minecraft:smelting,cyan_glazed_terracotta,1,,['cyan_terracotta'],[1],[1.0]
minecraft:crafting_shaped,cyan_stained_glass,8,stained_glass,"['glass', 'cyan_dye']","[8, 1]","[0.8888888888888888, 0.1111111111111111]"
minecraft:crafting_shaped,cyan_stained_glass_pane,16,stained_glass_pane,['cyan_stained_glass'],[6],[1.0]
minecraft:crafting_shaped,cyan_stained_glass_pane,8,stained_glass_pane,"['glass_pane', 'cyan_dye']","[8, 1]","[0.8888888888888888, 0.1111111111111111]"
minecraft:crafting_shaped,cyan_terracotta,8,stained_terracotta,"['terracotta', 'cyan_dye']","[8, 1]","[0.8888888888888888, 0.1111111111111111]"
minecraft:crafting_shapeless,cyan_wool,1,wool,"['cyan_dye', 'white_wool']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shaped,dark_oak_boat,1,boat,['dark_oak_planks'],[5],[1.0]
minecraft:crafting_shapeless,dark_oak_button,1,wooden_button,['dark_oak_planks'],[1],[1.0]
minecraft:crafting_shapeless,dark_oak_chest_boat,1,chest_boat,"['chest', 'dark_oak_boat']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shaped,dark_oak_door,3,wooden_door,['dark_oak_planks'],[6],[1.0]
minecraft:crafting_shaped,dark_oak_fence,3,wooden_fence,"['stick', 'dark_oak_planks']","[2, 4]","[0.3333333333333333, 0.6666666666666666]"
minecraft:crafting_shaped,dark_oak_fence_gate,1,wooden_fence_gate,"['stick', 'dark_oak_planks']","[4, 2]","[0.6666666666666666, 0.3333333333333333]"
minecraft:crafting_shapeless,dark_oak_planks,4,planks,['dark_oak_logs'],[1],[1.0]
minecraft:crafting_shaped,dark_oak_pressure_plate,1,wooden_pressure_plate,['dark_oak_planks'],[2],[1.0]
minecraft:crafting_shaped,dark_oak_sign,3,wooden_sign,"['dark_oak_planks', 'stick']","[6, 1]","[0.8571428571428571, 0.14285714285714285]"
minecraft:crafting_shaped,dark_oak_slab,6,wooden_slab,['dark_oak_planks'],[3],[1.0]
minecraft:crafting_shaped,dark_oak_stairs,4,wooden_stairs,['dark_oak_planks'],[6],[1.0]
minecraft:crafting_shaped,dark_oak_trapdoor,2,wooden_trapdoor,['dark_oak_planks'],[6],[1.0]
minecraft:crafting_shaped,dark_oak_wood,3,bark,['dark_oak_log'],[4],[1.0]
minecraft:crafting_shaped,dark_prismarine,1,,"['black_dye', 'prismarine_shard']","[1, 8]","[0.1111111111111111, 0.8888888888888888]"
minecraft:crafting_shaped,dark_prismarine_slab,6,,['dark_prismarine'],[3],[1.0]
minecraft:stonecutting,dark_prismarine_slab,1,,['dark_prismarine'],[1],[1.0]
minecraft:crafting_shaped,dark_prismarine_stairs,4,,['dark_prismarine'],[6],[1.0]
minecraft:stonecutting,dark_prismarine_stairs,1,,['dark_prismarine'],[1],[1.0]
minecraft:crafting_shaped,daylight_detector,1,,"['glass', 'quartz', 'wooden_slabs']","[3, 3, 3]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
minecraft:smelting,deepslate,1,,['cobbled_deepslate'],[1],[1.0]
minecraft:crafting_shaped,deepslate_bricks,4,,['polished_deepslate'],[4],[1.0]
minecraft:stonecutting,deepslate_bricks,1,,['cobbled_deepslate'],[1],[1.0]
